-70,-96
-66,-92
-62,-88
-58,-84
-54,-79
-50,-72
-46,-64
-42,-55
-38,-45
-34,-32
-30,-17
-28,-9
-26,0
-24,10
-22,20
-20,31
-18,43
-16,56
-14,69
-12,84
-10,99
-8,115
-6,133
-4,151
-2,171
0,191
2,213
4,236
6,260
8,286
10,313
12,341
14,371
16,402
18,435
20,470
22,506
24,544
26,583
28,625
30,668
32,713
34,761
36,810
38,861
40,915
42,970
44,1028
46,1089
48,1151
50,1216
52,1284
54,1354
56,1427
58,1502
60,1581
-68,-94
-64,-90
-60,-86
-56,-81.5
-52,-75.5
-48,-68
-44,-59.5
-40,-50
-36,-38.5
-32,-24.5
-29,-13
-27,-4.5
-25,5
-23,15
-21,25.5
-19,37
-17,49.5
-15,62.5
-13,76.5
-11,91.5
-9,107
-7,124
-5,142
-3,161
-1,181
1,202
3,224.5
5,248
7,273
9,299.5
11,327
13,356
15,386.5
17,418.5
19,452.5
21,488
23,525
25,563.5
27,604
29,646.5
31,690.5
33,737
35,785.5
37,835.5
39,888
41,942.5
43,999
45,1058.5
47,1120
49,1183.5
51,1250
53,1319
55,1390.5
57,1464.5
59,1541.5
